user_id,age,salary,email,score,country,signup_date
82,61.0,92623.0,user81@example.com,96.54,US,2023-09-01
83,51.0,111734.0,user82@example.com,55.83,UK,2023-09-04
84,27.0,105450.0,user83@example.com,88.26,DE,2023-09-07
85,40.0,52299.0,user84@example.com,18.87,FR,2023-09-10
86,53.0,78954.5,user85@example.com,27.89,IN,2023-09-13
87,31.0,73585.0,user86@example.com,70.04,US,2023-09-16
88,48.0,94044.0,user87@example.com,84.67,UK,2023-09-19
89,32.0,72557.0,user88@example.com,51.78,DE,2023-09-22
90,25.0,79080.0,user89@example.com,85.63,FR,2023-09-25
91,31.0,78954.5,user11@example.com,40.45,IN,2023-09-28
92,40.0,32693.0,user91@example.com,88.78,US,2023-10-01
93,40.0,99163.0,user92@example.com,85.09,UK,2023-10-04
94,57.0,55939.0,user93@example.com,93.56,DE,2023-10-07
95,38.0,78925.0,user94@example.com,78.53,FR,2023-10-10
96,33.0,78954.5,user95@example.com,66.9,IN,2023-10-13
97,62.0,72941.0,user96@example.com,51.78,US,2023-10-16
98,35.0,51834.0,user97@example.com,58.07,UK,2023-10-19
99,40.0,48047.0,user98@example.com,37.23,DE,2023-10-22
100,64.0,56105.0,user99@example.com,94.01,FR,2023-10-25
