uid,usr_age,annual_salary,email_address,risk_score,geo,registered_on,extra_flag,legacy_id
***-***-71,***-***-53,***-***-7004,u7***@corp.com,0.713,IN,***-***-5-20,False,L-0070
***-***-72,***-***-68,***-***-8481,u7***@corp.com,0.715,IN,***-***-5-22,False,L-0071
***-***-73,***-***-66,***-***-0036,u7***@corp.com,0.222,IN,***-***-5-24,True,L-0072
***-***-74,***-***-56,***-***-2642,u7***@corp.com,0.083,IN,***-***-5-26,False,L-0073
***-***-75,***-***-66,***-***-0454,u7***@corp.com,0.5,IN,***-***-5-28,True,L-0074
***-***-76,***-***-20,***-***-1240,u7***@corp.com,0.94,IN,***-***-5-30,False,L-0075
***-***-77,***-***-60,***-***-7442,u7***@corp.com,0.734,IN,***-***-6-01,True,L-0076
***-***-78,***-***-37,***-***-3597,u7***@corp.com,0.164,IN,***-***-6-03,True,L-0077
***-***-79,***-***-36,***-***-4283,u7***@corp.com,0.067,IN,***-***-6-05,True,L-0078
***-***-80,***-***-58,***-***-8253,u7***@corp.com,0.583,IN,***-***-6-07,False,L-0079
