id,name,age,salary,city,score,join_date,comment
***-***-195,Y***,35.0,***-***-00.0,LO***,51.49,***-***-date,good
***-***-196,O***,,,DE***,27.92,***-***-3-40,avg
***-***-197,V***,,***-***-00.0,KO***,73.81,,bad
***-***-198,D***,30.0,***-***-00.0,,47.61,,avg
***-***-199,S***,-5.0,***-***-00.0,PU***,37.01,,#na#
***-***-200,O***,20.0,***-***-00.0,LO***,50.68,***-***-3-40,
***-***-201,G***,999.0,***-***-00.0,KO***,33.13,***-***-date,good
***-***-202,X***,,***-***-00.0,MU***,73.85,***-***-3-40,???
***-***-203,K***,20.0,***-***-00.0,PU***,46.89,,#na#
***-***-204,Y***,25.0,***-***-00.0,MU***,11.39,***-***-1-01,good
***-***-205,Q***,-5.0,***-***-00.0,NY***,11.07,***-***-1-01,avg
***-***-206,V***,-5.0,***-***-00.0,MU***,89.0,***-***-date,good
***-***-207,Y***,30.0,***-***-00.0,DE***,62.82,***-***-3-40,
***-***-208,S***,-5.0,***-***-00.0,DE***,51.76,***-***-1-01,
***-***-209,A***,35.0,***-***-00.0,DE***,98.82,***-***-date,avg
***-***-210,R***,35.0,***-***-00.0,DE***,81.05,***-***-1-01,
***-***-211,X***,35.0,***-***-00.0,LO***,23.66,***-***-5-10,bad
***-***-212,D***,30.0,***-***-00.0,BA***,66.3,***-***-3-40,
***-***-213,J***,-5.0,***-***-00.0,LO***,20.69,***-***-5-10,#na#
***-***-214,T***,999.0,***-***-00.0,PU***,91.18,***-***-3-40,bad
***-***-215,X***,25.0,***-***-00.0,HY***,96.43,***-***-1-01,good
***-***-216,W***,25.0,***-***-00.0,PU***,,,excellent!!!
***-***-217,Y***,35.0,***-***-00.0,BA***,65.01,***-***-1-01,???
***-***-218,W***,25.0,***-***-00.0,DE***,21.28,***-***-5-10,good
***-***-219,Y***,35.0,,DE***,74.77,***-***-1-01,???
***-***-220,S***,35.0,,HY***,7.3,***-***-1-01,#na#
***-***-221,B***,999.0,***-***-00.0,MU***,78.15,,???
***-***-222,F***,,,LO***,8.71,***-***-1-01,good
***-***-223,M***,40.0,,HY***,20.76,***-***-1-01,#na#
***-***-224,M***,30.0,***-***-00.0,PU***,27.44,,avg
***-***-225,B***,-5.0,***-***-00.0,,94.24,***-***-5-10,excellent!!!
***-***-226,I***,35.0,***-***-00.0,BA***,35.76,***-***-date,#na#
***-***-227,V***,25.0,***-***-00.0,LO***,,***-***-5-10,bad
***-***-228,E***,999.0,***-***-00.0,CH***,,***-***-5-10,#na#
***-***-229,L***,40.0,***-***-00.0,CH***,85.67,***-***-1-01,excellent!!!
***-***-230,V***,,***-***-00.0,HY***,14.75,***-***-3-40,bad
***-***-231,N***,35.0,,HY***,38.04,,avg
***-***-232,Q***,-5.0,***-***-00.0,CH***,31.01,,good
***-***-233,H***,999.0,***-***-00.0,DE***,60.08,***-***-3-40,
***-***-234,Y***,999.0,***-***-00.0,NY***,0.42,***-***-date,excellent!!!
***-***-235,Z***,25.0,***-***-00.0,,22.71,***-***-date,#na#
***-***-236,K***,40.0,***-***-00.0,KO***,35.8,***-***-3-40,bad
***-***-237,V***,25.0,***-***-00.0,HY***,32.7,***-***-3-40,bad
***-***-238,J***,20.0,***-***-00.0,NY***,9.13,***-***-1-01,excellent!!!
***-***-239,X***,25.0,***-***-00.0,,84.41,***-***-3-40,excellent!!!
***-***-240,N***,35.0,,DE***,41.13,,#na#
***-***-241,U***,-5.0,***-***-00.0,LO***,72.56,***-***-3-40,good
***-***-242,C***,40.0,***-***-00.0,HY***,87.11,,bad
***-***-243,E***,30.0,***-***-00.0,MU***,33.28,***-***-date,avg
***-***-244,J***,,***-***-00.0,DE***,16.95,***-***-date,avg
***-***-245,W***,-5.0,***-***-00.0,NY***,67.4,***-***-date,excellent!!!
***-***-246,B***,25.0,***-***-00.0,KO***,,***-***-1-01,bad
***-***-247,T***,25.0,,BA***,89.13,***-***-date,
***-***-248,A***,999.0,***-***-00.0,PU***,24.42,***-***-date,???
***-***-249,C***,-5.0,***-***-00.0,PU***,13.28,***-***-1-01,avg
***-***-250,,25.0,,PU***,,***-***-1-01,avg
***-***-251,L***,40.0,,KO***,47.98,,avg
***-***-252,H***,30.0,***-***-00.0,DE***,,,#na#
***-***-253,S***,30.0,***-***-00.0,CH***,43.25,,avg
***-***-254,P***,-5.0,***-***-00.0,DE***,97.18,***-***-1-01,#na#
***-***-255,Y***,,***-***-00.0,HY***,93.38,,bad
***-***-256,O***,40.0,***-***-00.0,DE***,58.25,***-***-3-40,good
***-***-257,X***,25.0,***-***-00.0,LO***,,***-***-1-01,#na#
***-***-258,I***,20.0,***-***-00.0,HY***,76.27,***-***-5-10,avg
***-***-259,U***,,***-***-00.0,BA***,93.85,***-***-5-10,???
***-***-260,F***,-5.0,***-***-00.0,DE***,32.62,***-***-3-40,???
***-***-261,J***,,***-***-00.0,HY***,73.21,***-***-1-01,good
***-***-262,T***,999.0,***-***-00.0,NY***,,,#na#
***-***-263,G***,,***-***-00.0,,99.89,***-***-5-10,???
***-***-264,S***,40.0,***-***-00.0,KO***,1.53,,excellent!!!
***-***-265,J***,30.0,***-***-00.0,LO***,83.23,,bad
***-***-266,W***,20.0,***-***-00.0,MU***,41.93,***-***-1-01,avg
***-***-267,U***,999.0,***-***-00.0,CH***,0.11,,excellent!!!
***-***-268,K***,999.0,***-***-00.0,CH***,87.27,,???
***-***-269,S***,-5.0,***-***-00.0,MU***,50.43,,#na#
***-***-270,E***,25.0,***-***-00.0,,45.76,***-***-date,avg
***-***-271,J***,30.0,***-***-00.0,MU***,,,good
***-***-272,G***,40.0,***-***-00.0,KO***,14.57,,avg
***-***-273,V***,40.0,***-***-00.0,PU***,97.95,,???
***-***-274,O***,40.0,***-***-00.0,CH***,38.66,,???
***-***-275,Q***,35.0,***-***-00.0,NY***,,***-***-date,excellent!!!
***-***-276,T***,40.0,***-***-00.0,HY***,56.71,***-***-1-01,bad
***-***-277,Q***,,***-***-00.0,KO***,30.05,,
***-***-278,Q***,40.0,,HY***,56.11,***-***-5-10,#na#
***-***-279,P***,30.0,***-***-00.0,MU***,47.38,***-***-date,excellent!!!
***-***-280,Z***,20.0,***-***-00.0,PU***,28.52,***-***-date,
***-***-281,N***,999.0,,PU***,17.93,***-***-3-40,avg
***-***-282,P***,20.0,***-***-00.0,NY***,25.46,***-***-3-40,excellent!!!
***-***-283,M***,-5.0,***-***-00.0,LO***,77.97,***-***-1-01,???
***-***-284,Y***,40.0,***-***-00.0,LO***,44.8,***-***-5-10,
***-***-285,O***,35.0,,DE***,,,#na#
***-***-286,A***,35.0,,PU***,55.48,***-***-1-01,???
***-***-287,S***,30.0,***-***-00.0,KO***,54.66,***-***-3-40,???
***-***-288,Y***,40.0,***-***-00.0,BA***,47.18,,
***-***-289,K***,30.0,,DE***,59.48,,excellent!!!
***-***-290,H***,25.0,***-***-00.0,,9.39,***-***-3-40,excellent!!!
***-***-291,G***,25.0,***-***-00.0,KO***,17.69,,excellent!!!
***-***-292,E***,30.0,,DE***,94.15,***-***-1-01,good
***-***-293,M***,35.0,***-***-00.0,HY***,61.84,***-***-3-40,avg
***-***-294,,999.0,***-***-00.0,MU***,32.63,***-***-5-10,
***-***-295,K***,30.0,***-***-00.0,NY***,70.16,***-***-3-40,???
***-***-296,F***,35.0,***-***-00.0,,16.45,***-***-3-40,bad
***-***-297,V***,30.0,***-***-00.0,KO***,63.91,***-***-1-01,avg
***-***-298,A***,-5.0,***-***-00.0,MU***,75.78,***-***-1-01,???
***-***-299,E***,-5.0,***-***-00.0,KO***,9.12,***-***-date,excellent!!!
***-***-300,D***,-5.0,***-***-00.0,PU***,33.98,***-***-5-10,bad
***-***-301,J***,-5.0,***-***-00.0,CH***,88.78,***-***-5-10,bad
***-***-302,M***,35.0,***-***-00.0,HY***,,***-***-1-01,#na#
***-***-303,E***,25.0,,CH***,,***-***-5-10,good
***-***-304,A***,35.0,***-***-00.0,CH***,68.9,***-***-1-01,#na#
***-***-305,M***,,,,71.39,,good
***-***-306,Z***,20.0,,NY***,8.02,,avg
***-***-307,O***,35.0,***-***-00.0,,12.6,***-***-1-01,#na#
***-***-308,A***,,***-***-00.0,BA***,97.58,***-***-1-01,bad
***-***-309,N***,-5.0,***-***-00.0,DE***,72.07,***-***-5-10,bad
***-***-310,Z***,40.0,***-***-00.0,BA***,,***-***-5-10,avg
***-***-311,X***,35.0,***-***-00.0,KO***,59.61,***-***-3-40,good
***-***-312,Y***,35.0,***-***-00.0,BA***,11.96,***-***-5-10,excellent!!!
***-***-313,F***,,***-***-00.0,DE***,67.72,***-***-3-40,bad
***-***-314,I***,20.0,***-***-00.0,PU***,67.55,***-***-date,#na#
***-***-315,H***,35.0,***-***-00.0,MU***,,***-***-3-40,good
***-***-316,S***,-5.0,,CH***,27.21,***-***-3-40,???
***-***-317,G***,999.0,***-***-00.0,KO***,54.41,***-***-5-10,excellent!!!
***-***-318,B***,35.0,***-***-00.0,PU***,33.62,***-***-3-40,bad
***-***-319,G***,20.0,***-***-00.0,HY***,98.5,***-***-date,???
***-***-320,I***,40.0,***-***-00.0,LO***,5.45,***-***-5-10,avg
***-***-321,T***,20.0,***-***-00.0,,23.16,***-***-5-10,
***-***-322,P***,-5.0,***-***-00.0,KO***,82.72,***-***-date,avg
***-***-323,F***,40.0,***-***-00.0,NY***,7.26,***-***-5-10,???
***-***-324,Y***,25.0,***-***-00.0,NY***,59.01,***-***-3-40,
***-***-325,D***,999.0,***-***-00.0,NY***,60.62,***-***-date,bad
***-***-326,P***,999.0,***-***-00.0,HY***,6.75,,good
***-***-327,R***,35.0,***-***-00.0,MU***,41.35,***-***-5-10,bad
***-***-328,L***,25.0,***-***-00.0,LO***,49.01,***-***-3-40,???
***-***-329,H***,35.0,***-***-00.0,LO***,25.04,***-***-3-40,#na#
***-***-330,T***,999.0,***-***-00.0,MU***,88.39,,
***-***-331,M***,-5.0,,LO***,24.88,***-***-3-40,#na#
***-***-332,O***,40.0,***-***-00.0,KO***,73.53,***-***-3-40,good
***-***-333,S***,999.0,***-***-00.0,MU***,,,good
***-***-334,H***,35.0,***-***-00.0,MU***,83.88,***-***-5-10,bad
***-***-335,X***,35.0,,BA***,9.72,***-***-date,avg
***-***-336,V***,20.0,***-***-00.0,MU***,50.22,,bad
***-***-337,D***,35.0,***-***-00.0,KO***,6.98,***-***-1-01,???
***-***-338,W***,40.0,***-***-00.0,PU***,17.55,***-***-date,#na#
***-***-339,F***,40.0,***-***-00.0,BA***,99.0,***-***-date,bad
***-***-340,I***,999.0,***-***-00.0,,44.86,***-***-5-10,good
***-***-341,,-5.0,***-***-00.0,MU***,85.63,***-***-1-01,bad
***-***-342,G***,20.0,***-***-00.0,,6.33,***-***-5-10,#na#
***-***-343,E***,30.0,***-***-00.0,MU***,26.24,***-***-5-10,???
***-***-344,R***,-5.0,***-***-00.0,PU***,70.4,***-***-date,bad
***-***-345,Y***,999.0,***-***-00.0,BA***,97.05,***-***-date,good
***-***-346,Y***,20.0,***-***-00.0,HY***,2.78,,
***-***-347,Z***,999.0,***-***-00.0,DE***,18.47,,bad
***-***-348,Z***,-5.0,,LO***,7.11,***-***-date,
***-***-349,C***,20.0,***-***-00.0,MU***,,,excellent!!!
***-***-350,V***,40.0,***-***-00.0,LO***,42.06,,???
***-***-351,O***,20.0,***-***-00.0,,91.62,***-***-date,good
***-***-352,H***,35.0,***-***-00.0,BA***,37.57,***-***-5-10,avg
***-***-353,B***,35.0,***-***-00.0,,,***-***-date,avg
***-***-354,P***,40.0,***-***-00.0,MU***,39.07,***-***-date,excellent!!!
***-***-355,K***,35.0,***-***-00.0,KO***,62.46,***-***-1-01,excellent!!!
***-***-356,U***,20.0,***-***-00.0,KO***,23.5,,
***-***-357,K***,999.0,***-***-00.0,LO***,47.06,***-***-3-40,???
***-***-358,X***,20.0,***-***-00.0,KO***,38.69,,excellent!!!
***-***-359,,35.0,***-***-00.0,NY***,94.06,***-***-1-01,bad
***-***-360,,,***-***-00.0,DE***,82.52,,bad
***-***-361,S***,,***-***-00.0,DE***,85.42,***-***-1-01,bad
***-***-362,A***,999.0,***-***-00.0,BA***,86.46,***-***-3-40,#na#
***-***-363,S***,40.0,***-***-00.0,DE***,,***-***-1-01,???
***-***-364,D***,25.0,***-***-00.0,HY***,97.92,***-***-5-10,#na#
***-***-365,N***,999.0,***-***-00.0,HY***,53.92,***-***-5-10,???
***-***-366,V***,-5.0,***-***-00.0,PU***,,,???
***-***-367,Q***,30.0,***-***-00.0,KO***,57.9,***-***-5-10,bad
***-***-368,T***,20.0,***-***-00.0,KO***,86.17,***-***-1-01,excellent!!!
***-***-369,L***,20.0,***-***-00.0,MU***,35.26,***-***-3-40,???
***-***-370,T***,999.0,***-***-00.0,BA***,54.3,,bad
***-***-371,T***,25.0,***-***-00.0,LO***,39.74,***-***-1-01,avg
***-***-372,J***,30.0,***-***-00.0,LO***,50.13,***-***-1-01,
***-***-373,G***,30.0,***-***-00.0,CH***,36.56,***-***-1-01,bad
***-***-374,,25.0,***-***-00.0,PU***,6.04,***-***-date,#na#
***-***-375,T***,20.0,***-***-00.0,NY***,54.81,***-***-date,#na#
***-***-376,A***,35.0,***-***-00.0,PU***,,***-***-3-40,???
***-***-377,Z***,30.0,,DE***,85.06,***-***-5-10,???
***-***-378,B***,999.0,***-***-00.0,DE***,42.17,***-***-1-01,#na#
***-***-379,,35.0,***-***-00.0,HY***,14.54,***-***-5-10,#na#
***-***-380,C***,25.0,***-***-00.0,KO***,35.36,***-***-5-10,???
***-***-381,K***,20.0,***-***-00.0,MU***,28.28,***-***-3-40,avg
