order_id,customer_id,email,phone,order_amount,quantity,discount_pct,order_date,status,product_category,product_name,payment_type,shipping_country
ORD-10018,CUST-3503,tm***@yahoo.com,***-***--NOW,MISSING,3,10,2023-03-16,Delivered,Food,V***,Credit Card,MASKED_3a52f3c2
ORD-10019,CUST-8999,  ***@outlook.com,***-***-1475,355187.08,10,15,2022-12-11,refunded,Beauty,S***,Debit Card,MASKED_0f177369
ORD-10020,CUST-2341,  ***@outlook.com  ,***-***-1853,1438.92,7,10,2022-08-18,dispatched,Books,F***,Credit Card,MASKED_7516fd43
ORD-10021,CUST-3683,vq***@gmail.com,***-***-6111,-89.44,2,20,2025-07-16,Delivered,Home & Garden,R***,Debit Card,MASKED_76423d83
ORD-10022,CUST-6934,us***@domain,***-***-8135,699.3,2,5,2024-01-22,  Refunded  ,Home & Garden,P***,gift card,MASKED_19d3326f
ORD-10023,CUST-4475,lt***@outlook.com,***-***-7890,MISSING,6,20,2023-03-16,Cancelled,Food,O***,Credit Card,MASKED_3a52f3c2
ORD-10024,CUST-8434,  ***@outlook.com,***-***-2976,585405.42,6,25,2022-07-17,processing,Beauty,M***,Cash,MASKED_c86ee0d9
ORD-10025,CUST-1745,  ***@outlook.com  ,***-***-3068,950.67,9,25,2024-06-08,Pending,Home & Garden,S***,Credit Card,MASKED_24d22e03
ORD-10026,CUST-7818,mi***@company.io,***-***-9561,-121.04,2,15,2026-04-09,Delivered,Sports,R***,Cash,MASKED_6cc98ba2
ORD-10027,CUST-5632,us***@gmail.com,***-***-4824,189.02,1,10,2024-03-17,  Cancelled  ,Sports,T***,Barter,MASKED_6cc98ba2
ORD-10028,CUST-1653,  ***@enterprise.net  ,***-***-0000,none,8,0,2023-03-16,Processing,Clothing,S***,Cash,MASKED_7516fd43
ORD-10029,CUST-7561,  ***@company.io,***-***-2442,344363.24,8,10,2022-09-16,PENDING,Sports,Y***,Bank Transfer,MASKED_19d3326f
ORD-10030,CUST-3594,mb***@company.io,***-***-7684,6404.5,10,0,2022-08-19,Pending,Electronics,T***,Credit Card,MASKED_c86ee0d9
ORD-10031,CUST-9318,nh***@gmail.com,***-***-5891,4486.38,6,20,2023-08-17,Refunded,Food,V***,Debit Card,MASKED_0f177369
ORD-10032,CUST-3492,it***@gmail.com,***-***-6439,2183.51,7,0,2024-06-14,Delivered,Food,C***,Cash,MASKED_0f177369
ORD-10033,CUST-8994,kr***@gmail.com,***-***-4846,3019.86,6,25,2023-12-02,Shipped,Electronics,S***,Credit Card,MASKED_6cc98ba2
ORD-10034,CUST-3950,ls***@yahoo.com,***-***-7267,5470.3,10,20,2023-12-01,Processing,Clothing,D***,Cash,MASKED_c86ee0d9
ORD-10035,CUST-8484,ql***@yahoo.com,***-***-8916,3876.6,7,0,2022-08-31,Delivered,Home & Garden,C***,PayPal,MASKED_24d22e03
ORD-10036,CUST-6772,av***@enterprise.net,***-***-5106,1950.48,4,25,2024-02-13,Refunded,Sports,D***,Credit Card,MASKED_7516fd43
ORD-10037,CUST-6549,***@***.***,***-***-4696,2992.55,5,25,2024-01-12,Pending,Sports,B***,Cash,MASKED_3e8d115e
ORD-10038,CUST-8606,an***@outlook.com,***-***-2911,2079.52,4,5,2022-02-16,  Delivered  ,Clothing,J***,Bank Transfer,MASKED_76423d83
ORD-10039,CUST-4559,xd***@hotmail.com,***-***-6942,553.77,1,0,2023-12-04,Shipped,Clothing,S***,PayPal,MASKED_7516fd43
ORD-10040,CUST-4817,ed***@yahoo.com,***-***-5542,1766.8,10,5,2022-05-14,ERROR,Beauty,P***,Debit Card,MASKED_76423d83
ORD-10041,CUST-9408,au***@gmail.com,***-***-4629,4988.16,8,20,2022-02-14,Refunded,Electronics,S***,PayPal,MASKED_0f177369
ORD-10042,CUST-8433,zw***@company.io,***-***-2874,4267.9,10,25,2023-10-29,Cancelled,Electronics,S***,Bank Transfer,MASKED_0f177369
ORD-10043,CUST-1982,il***@company.io,***-***-3002,3902.16,6,15,2022-12-29,Refunded,Home & Garden,R***,Credit Card,MASKED_11aedd0e
ORD-10044,CUST-5381,cn***@yahoo.com,***-***-6062,232.83,9,10,2022-12-26,Pending,Sports,D***,Debit Card,MASKED_24d22e03
ORD-10045,CUST-1861,dq***@yahoo.com,***-***-1815,4790.0,10,25,2022-03-25,Shipped,Beauty,S***,Bank Transfer,MASKED_0f177369
ORD-10046,CUST-8055,ht***@yahoo.com,***-***-4770,22.3,2,20,2023-07-27,Refunded,Food,P***,Credit Card,MASKED_6cc98ba2
ORD-10047,CUST-6928,ax***@hotmail.com,***-***-8138,5331.68,8,20,2023-02-15,Cancelled,Electronics,L***,Bank Transfer,MASKED_11aedd0e
ORD-10048,CUST-2234,ie***@enterprise.net,***-***-8354,1451.73,3,25,29-09-2023,Cancelled,Toys,R***,PayPal,MASKED_3e8d115e
ORD-10049,CUST-1672,bl***@company.io,***-***-6267,2610.02,7,20,2023-05-03,Cancelled,Books,S***,Credit Card,MASKED_0f177369
ORD-10050,CUST-2548,zc***@enterprise.net,***-***-5128,344.4,6,25,2024-05-22,Refunded,Clothing,S***,Debit Card,MASKED_3e8d115e
ORD-10051,CUST-1298,rx***@outlook.com,***-***-6598,2864.75,7,15,2022-07-16,Processing,Clothing,J***,Debit Card,MASKED_76423d83
ORD-10052,CUST-6968,no***@enterprise.net,***-***-2345,317.92,8,25,2024-03-13,PENDING,Sports,D***,Cash,MASKED_3a52f3c2
ORD-10053,CUST-9452,xf***@outlook.com,***-***-3626,6729.84,9,10,2023-04-06,Cancelled,Sports,D***,Bank Transfer,MASKED_76423d83
ORD-10054,CUST-8740,xy***@yahoo.com,***-***-8685,106.35,3,15,2023-09-23,Pending,Home & Garden,S***,Credit Card,MASKED_11aedd0e
ORD-10055,CUST-1269,os***@company.io,***-***-3352,3835.28,8,10,2023-03-16,Pending,Home & Garden,C***,PayPal,MASKED_3a52f3c2
ORD-10056,CUST-6649,rc***@enterprise.net,***-***-2698,3791.22,6,20,2024-01-23,Shipped,Beauty,L***,Credit Card,MASKED_3e8d115e
ORD-10057,CUST-6170,vr***@company.io,***-***-9897,2836.8,4,15,2022-09-17,Pending,Toys,A***,PayPal,MASKED_3e8d115e
ORD-10058,CUST-3956,  ***@outlook.com  ,***-***-2311,474.25,7,10,2023-11-08,Shipped,Electronics,H***,Bank Transfer,MASKED_24d22e03
ORD-10059,CUST-3339,rj***@enterprise.net,***-***-3068,2287.41,3,0,2022-08-30,Refunded,Beauty,P***,PayPal,MASKED_6cc98ba2
ORD-10060,CUST-8311,dl***@company.io,***-***-9047,3105.5,5,5,2022-05-06,Processing,Electronics,L***,Bank Transfer,MASKED_c86ee0d9
ORD-10061,CUST-3275,vz***@hotmail.com,***-***-7044,1576.36,2,15,2024-04-02,Cancelled,Food,O***,Cash,MASKED_76423d83
ORD-10062,CUST-3981,ks***@yahoo.com,***-***-1907,4622.76,9,0,2023-06-15,2,Clothing,J***,Debit Card,MASKED_c86ee0d9
ORD-10063,CUST-6531,iy***@gmail.com,***-***-1744,5779.0,10,25,02-12-2023,Cancelled,Toys,B***,Debit Card,MASKED_24d22e03
ORD-10064,CUST-6231,  ***@outlook.com  ,***-***-7070,760.5,3,20,2023-07-30,Pending,Beauty,P***,Debit Card,MASKED_0f177369
ORD-10065,CUST-6055,ld***@gmail.com,***-***-9281,3385.08,9,15,2022-09-04,Processing,Clothing,S***,PayPal,MASKED_7516fd43
ORD-10066,CUST-2204,mw***@company.io,***-***-5582,2668.86,6,20,2023-11-28,Cancelled,Electronics,L***,Debit Card,MASKED_76423d83
ORD-10067,CUST-7438,ui***@enterprise.net,***-***-6511,2582.3,10,20,2024-04-28,  Cancelled  ,Beauty,F***,Bank Transfer,MASKED_24d22e03
ORD-10068,CUST-7229,vj***@enterprise.net,***-***-2800,4545.72,9,5,2022-01-20,Delivered,Sports,R***,Bank Transfer,MASKED_c86ee0d9
ORD-10069,CUST-6140,ku***@hotmail.com,***-***-9950,3382.0,8,10,2023-11-24,Refunded,Beauty,P***,Cash,MASKED_0f177369
ORD-10070,CUST-7464,hh***@yahoo.com,***-***-5712,5019.91,7,25,2022-03-22,Shipped,Home & Garden,R***,PayPal,MASKED_0f177369
ORD-10071,CUST-3587,vh***@enterprise.net,***-***-4267,27.36,3,10,2022-11-25,Shipped,Home & Garden,S***,Credit Card,MASKED_24d22e03
ORD-10072,CUST-6489,tw***@hotmail.com,***-***-9590,903.0,10,15,2024-06-29,Processing,Home & Garden,C***,Bank Transfer,MASKED_11aedd0e
ORD-10073,CUST-7643,it***@company.io,***-***-7567,1472.13,3,25,2022-04-08,Processing,Home & Garden,L***,Bank Transfer,MASKED_3e8d115e
ORD-10074,CUST-7642,gg***@company.io,***-***-6095,1991.28,8,25,2022-05-01,Refunded,Home & Garden,P***,PayPal,MASKED_24d22e03
ORD-10075,CUST-6927,ym***@company.io,***-***-0000,3399.2,8,20,2022-07-27,Cancelled,Home & Garden,C***,Debit Card,MASKED_c86ee0d9
ORD-10076,CUST-1742,lr***@outlook.com,***-***-9866,1859.04,4,0,2022-03-12,Delivered,Toys,L***,PayPal,MASKED_6cc98ba2
ORD-10077,CUST-9802,tz***@company.io,***-***-4648,MISSING,6,0,2024-02-14,Pending,Books,T***,Bank Transfer,MASKED_19d3326f
ORD-10078,CUST-1724,jf***@hotmail.com,***-***-4559,199.56,1,0,2022-05-24,Cancelled,Beauty,P***,Debit Card,MASKED_24d22e03
ORD-10079,CUST-1768,pr***@enterprise.net,***-***-9592,3128.3,7,10,2023-12-15,Delivered,Toys,P***,Debit Card,MASKED_11aedd0e
ORD-10080,CUST-7079,tm***@company.io,***-***-4120,1476.34,2,0,2022-10-02,Delivered,Beauty,F***,Cash,MASKED_7516fd43
ORD-10081,CUST-4350,up***@yahoo.com,***-***-5637,5855.84,8,15,2023-04-23,Cancelled,Clothing,J***,PayPal,MASKED_11aedd0e
ORD-10082,CUST-7841,wm***@yahoo.com,***-***-4768,4654.2,10,15,2023-08-07,Processing,Toys,P***,Cash,MASKED_3e8d115e
ORD-10083,CUST-7756,zq***@enterprise.net,***-***-3474,612.65,1,0,2022-08-12,Cancelled,Sports,B***,PayPal,MASKED_7516fd43
ORD-10084,CUST-6807,an***@hotmail.com,***-***-7652,1851.03,9,15,2023-08-02,Processing,Food,O***,PayPal,MASKED_76423d83
ORD-10085,CUST-8790,kj***@gmail.com,***-***-5593,2886.04,4,20,2023-08-01,Refunded,Electronics,L***,Debit Card,MASKED_3e8d115e
ORD-10086,CUST-3292,pt***@enterprise.net,***-***-6666,4239.97,7,0,2022-04-11,Delivered,Electronics,S***,Credit Card,MASKED_3e8d115e
ORD-10087,CUST-3527,ah***@hotmail.com,***-***-2745,638.05,5,0,2022-01-06,Shipped,Beauty,S***,PayPal,MASKED_11aedd0e
ORD-10088,CUST-7779,cl***@gmail.com,***-***-4977,103.67,7,20,2023-06-18,Processing,Clothing,D***,Debit Card,MASKED_c86ee0d9
ORD-10089,CUST-7483,  ***@company.io  ,***-***-6399,51.9,5,15,2022-12-09,Delivered,Sports,T***,Debit Card,MASKED_11aedd0e
ORD-10090,CUST-1440,yf***@hotmail.com,***-***-8183,1640.88,3,10,2024-05-01,Refunded,Toys,L***,Bank Transfer,MASKED_0f177369
ORD-10091,CUST-2392,***@***.***,***-***-6816,4293.81,9,5,2023-10-25,Cancelled,Books,F***,Cash,MASKED_6cc98ba2
ORD-10092,CUST-2406,cc***@enterprise.net,***-***-6110,479.74,2,10,2023-04-12,  Delivered  ,Toys,R***,Bank Transfer,MASKED_3e8d115e
ORD-10093,CUST-8570,ls***@hotmail.com,***-***-4053,3095.64,9,25,2023-11-05,Delivered,Food,V***,Credit Card,MASKED_24d22e03
ORD-10094,CUST-9019,pk***@enterprise.net,***-***-7367,427.14,2,20,2023-03-16,Cancelled,Home & Garden,S***,PayPal,MASKED_3e8d115e
ORD-10095,CUST-7931,er***@hotmail.com,***-***-3838,1385.91,3,20,2022-06-20,Delivered,Food,P***,Debit Card,MASKED_c86ee0d9
ORD-10096,CUST-5729,qw***@hotmail.com,***-***-9115,918.75,5,20,2023-06-08,Pending,Toys,R***,Credit Card,MASKED_11aedd0e
ORD-10097,CUST-4882,vb***@enterprise.net,***-***-6744,1243.26,2,25,2023-09-17,Refunded,Toys,P***,Debit Card,MASKED_24d22e03
ORD-10098,CUST-7743,vu***@outlook.com,***-***-3174,225.58,2,5,2022-05-30,Refunded,Books,T***,Debit Card,MASKED_6cc98ba2
ORD-10099,CUST-6362,pg***@gmail.com,***-***-2526,6083.6,8,25,2023-04-15,Refunded,Food,P***,Credit Card,MASKED_19d3326f
ORD-10100,CUST-3588,zv***@hotmail.com,***-***-4314,143.52,8,25,2022-05-16,Refunded,Beauty,P***,Debit Card,MASKED_11aedd0e
ORD-10101,CUST-2975,gj***@enterprise.net,***-***-2160,558.0,1,5,2023-01-28,Pending,Clothing,T***,Credit Card,MASKED_3e8d115e
ORD-10102,CUST-2420,du***@yahoo.com,***-***-7291,5509.36,8,10,2023-03-16,Shipped,Toys,A***,Debit Card,MASKED_11aedd0e
ORD-10103,CUST-9185,op***@company.io,***-***-1197,662.41,7,10,2022-11-21,Processing,Clothing,D***,Cash,MASKED_6cc98ba2
ORD-10104,CUST-7590,rt***@enterprise.net,***-***-3501,2392.18,7,10,2025-06-30,Shipped,Toys,L***,Cash,MASKED_3a52f3c2
ORD-10105,CUST-3877,ip***@gmail.com,***-***-1185,2672.65,5,5,2023-05-24,Shipped,Books,C***,Cash,MASKED_11aedd0e
ORD-10106,CUST-3734,du***@yahoo.com,***-***-2685,5505.52,8,20,2023-11-22,Refunded,Books,F***,UNKNOWN,MASKED_19d3326f
ORD-10107,CUST-5067,wa***@enterprise.net,***-***-2276,1284.43,7,20,2023-01-17,Pending,Electronics,S***,Credit Card,MASKED_c86ee0d9
ORD-10108,CUST-9083,zy***@yahoo.com,***-***-5016,1495.28,4,5,2022-01-07,Delivered,Home & Garden,S***,Debit Card,MASKED_19d3326f
ORD-10109,CUST-9515,ya***@enterprise.net,***-***-2391,2873.36,4,20,2026-04-28,Cancelled,Toys,A***,Bank Transfer,MASKED_76423d83
ORD-10110,CUST-8365,rd***@outlook.com,***-***-9780,267.0,3,10,2024-02-28,Processing,Electronics,T***,PayPal,MASKED_0f177369
ORD-10111,CUST-3848,cu***@hotmail.com,***-***-5093,3284.85,5,0,2023-04-19,Pending,Sports,D***,Credit Card,MASKED_7516fd43
ORD-10112,CUST-8552,dv***@yahoo.com,***-***-7471,614.46,6,15,2022-01-31,Delivered,Electronics,T***,Debit Card,MASKED_3e8d115e
ORD-10113,CUST-7266,hl***@outlook.com,***-***-8940,5732.1,9,10,2023-08-03,Cancelled,Home & Garden,P***,Bank Transfer,MASKED_11aedd0e
ORD-10114,CUST-2640,  ***@outlook.com  ,***-***-9743,3117.24,4,25,2022-02-27,Processing,Books,C***,Bank Transfer,MASKED_3e8d115e
ORD-10115,CUST-1920,gi***@company.io,***-***-9625,281.44,8,15,2022-01-01,Shipped,Books,C***,Debit Card,MASKED_c86ee0d9
ORD-10116,CUST-6514,xv***@outlook.com,***-***-8157,3296.16,7,25,2023-05-14,Refunded,Toys,B***,Debit Card,MASKED_19d3326f
ORD-10117,CUST-6213 ,rv***@yahoo.com,***-***-2705,307.4,10,15,2022-05-25,Shipped,Toys,L***,Debit Card,MASKED_3e8d115e
ORD-10118,CUST-8179,qz***@hotmail.com,***-***-9078,43.28,1,15,2022-12-26,Cancelled,Toys,P***,Credit Card,MASKED_0f177369
ORD-10119,CUST-2525,lu***@company.io,***-***-1507,6783.84,9,15,2023-11-01,Processing,Home & Garden,C***,Bank Transfer,MASKED_c86ee0d9
ORD-10120,CUST-8869,iz***@gmail.com,***-***-3798,MISSING,2,25,2022-10-26,Pending,Electronics,T***,Credit Card,MASKED_11aedd0e
ORD-10121,CUST-6632,mr***@hotmail.com,***-***-4727,-170.85,2,20,2022-03-04,Delivered,Beauty,F***,Bank Transfer,MASKED_19d3326f
ORD-10122,CUST-8133,wm***@enterprise.net,***-***-5225,1581.36,2,10,2024-01-15,Pending,Food,C***,Bank Transfer,MASKED_19d3326f
ORD-10123,CUST-6633,ih***@outlook.com,***-***-8955,3473.2,5,20,2023-09-16,Delivered,Beauty,M***,Debit Card,MASKED_11aedd0e
ORD-10124,CUST-4734,qr***@outlook.com,***-***-6257,1556.26,2,10,2024-01-17,Delivered,Beauty,F***,Credit Card,MASKED_3a52f3c2
ORD-10125,CUST-9589,xk***@gmail.com,***-***-4288,1876.53,3,0,2023-03-16,Pending,Food,V***,Credit Card,MASKED_3e8d115e
ORD-10126,CUST-7333,jm***@yahoo.com,***-***-4511,463.26,2,5,2023-10-25,Processing,Home & Garden,L***,PayPal,MASKED_6cc98ba2
ORD-10127,CUST-6713,md***@outlook.com,***-***-5950,5018.37,many,25,2023-06-18,Cancelled,Electronics,T***,Cash,MASKED_76423d83
ORD-10128,CUST-9475,zz***@yahoo.com,***-***-7620,773.75,5,25,2022-11-24,Refunded,Electronics,S***,Credit Card,MASKED_0f177369
ORD-10129,CUST-3785,xk***@company.io,***-***-2599,2192.85,9,15,2022-05-12,Refunded,Sports,R***,Cash,MASKED_c86ee0d9
ORD-10130,CUST-2166,ff***@yahoo.com,***-***-7253,7557.2,10,20,2022-11-02,Delivered,Toys,L***,Debit Card,MASKED_c86ee0d9
ORD-10131,CUST-4430,ko***@yahoo.com,***-***-3595,-466.77,1,15,2024-03-15,Pending,Home & Garden,L***,Cash,MASKED_6cc98ba2
ORD-10132,CUST-2069,lm***@outlook.com,***-***-9524,2483.6,10,20,2023-06-21,Shipped,BEAUTY,S***,Debit Card,MASKED_3e8d115e
ORD-10133,CUST-5190,te***@company.io,***-***-1785,303.28,1,25,2022-04-21,Refunded,Food,C***,Credit Card,MASKED_76423d83
ORD-10134,CUST-4272,jo***@company.io,***-***-7713,801.4,2,10,2022-06-14,Pending,Beauty,F***,Bank Transfer,MASKED_3a52f3c2
ORD-10135,CUST-5850,ga***@hotmail.com,***-***-3862,1472.48,4,0,2024-05-22,Shipped,Food,P***,PayPal,MASKED_6cc98ba2
ORD-10136,CUST-7319,wx***@hotmail.com,***-***-3732,1768.88,8,0,2022-05-16,Refunded,Clothing,T***,Debit Card,MASKED_76423d83
ORD-10137,CUST-4669,mo***@outlook.com,***-***-2560,5536.71,9,15,2023-11-09,Refunded,Beauty,L***,Bank Transfer,MASKED_3e8d115e
ORD-10138,CUST-5557,vo***@company.io,***-***-7203,1179.06,6,15,2024-04-16,Processing,Beauty,M***,Bank Transfer,MASKED_0f177369
ORD-10139,CUST-8474,wl***@outlook.com,***-***-4652,1525.05,9,15,2022-12-06,Cancelled,Food,T***,Cash,MASKED_0f177369
ORD-10140,CUST-7437,ct***@hotmail.com,***-***-6536,616.4,4,0,2024-02-15,Delivered,Toys,L***,Cash,MASKED_76423d83
ORD-10141,CUST-6273,ry***@hotmail.com,***-***-5067,4869.0,10,10,2023-03-16,Shipped,food,P***,Bank Transfer,MASKED_c86ee0d9
ORD-10142,CUST-6281,px***@gmail.com,***-***-8870,1216.8,3,20,2023-08-08,Refunded,Books,B***,Cash,MASKED_11aedd0e
ORD-10143,CUST-5835,na***@company.io,***-***-8415,554.02,1,0,2023-09-23,Refunded,Beauty,F***,Debit Card,MASKED_19d3326f
ORD-10144,CUST-8259,nu***@enterprise.net,***-***-7025,6957.4,10,20,2023-07-14,Refunded,Beauty,F***,Debit Card,MASKED_3a52f3c2
ORD-10145,CUST-5934,er***@company.io,***-***-2194,454.3,10,25,2022-11-22,Cancelled,Sports,D***,Debit Card,MASKED_19d3326f
ORD-10146,CUST-4994,eo***@enterprise.net,***-***-2857,7352.9,10,15,2022-09-20,Cancelled,Clothing,J***,Credit Card,MASKED_19d3326f
ORD-10147,CUST-2181,ul***@enterprise.net,***-***-8523,3633.14,7,25,2022-12-06,Pending,Toys,L***,Credit Card,MASKED_7516fd43
ORD-10148,CUST-2189,oo***@company.io,***-***-5937,562.2,1,20,2022-03-30,Shipped,Books,B***,Bank Transfer,MASKED_6cc98ba2
ORD-10149,CUST-3316,ef***@gmail.com,***-***-7456,6303.96,9,20,2023-07-15,Pending,Electronics,H***,Debit Card,MASKED_3e8d115e
ORD-10150,CUST-8982,xw***@outlook.com,***-***-4842,323.9,2,0,2022-10-19,Cancelled,Home & Garden,S***,Debit Card,MASKED_3e8d115e
ORD-10151,CUST-6432,ir***@hotmail.com,***-***-6004,670.62,6,15,2026-03-01,Pending,Food,O***,Cash,MASKED_76423d83
ORD-10152,CUST-1600,xf***@outlook.com,***-***-8734,1741.4,10,25,2024-03-04,Processing,Sports,R***,Bank Transfer,MASKED_3a52f3c2
ORD-10153,CUST-1662,mn***@hotmail.com,***-***-5331,6013.12,8,10,2022-08-28,Pending,Sports,D***,Cash,MASKED_3e8d115e
ORD-10154,CUST-7165,xw***@company.io,***-***-6653,831.5,2,15,2024-03-22,Delivered,Beauty,F***,Credit Card,MASKED_19d3326f
ORD-10155,CUST-3641,ec***@hotmail.com,***-***-1706,3086.56,8,5,2023-08-11,Cancelled,Books,S***,Debit Card,MASKED_19d3326f
ORD-10156,CUST-3979,de***@enterprise.net,***-***-3747,6572.6,10,25,2023-12-04,Shipped,Electronics,T***,Cash,MASKED_24d22e03
ORD-10157,CUST-9835,jd***@enterprise.net,***-***-9553,4233.76,8,15,2023-01-15,Pending,Clothing,S***,Bank Transfer,MASKED_3a52f3c2
ORD-10158,CUST-1116,ju***@company.io,***-***-1117,568.77,1,15,2023-11-02,Processing,Food,P***,Bank Transfer,MASKED_3e8d115e
ORD-10159,CUST-6641,lp***@hotmail.com,***-***-2951,3954.3,5,25,2022-08-24,Delivered,Clothing,J***,Credit Card,MASKED_3a52f3c2
ORD-10160,CUST-2311,up***@gmail.com,***-***-7564,906.55,5,20,2023-11-03,sHiPpEd,Beauty,P***,Cash,MASKED_7516fd43
ORD-10161,CUST-7474,lf***@company.io,***-***-1251,2000.18,7,25,2023-12-22,Pending,Books,F***,Cash,MASKED_11aedd0e
ORD-10162,CUST-9813,zh***@outlook.com,***-***-7178,6890.22,9,20,2023-05-11,unknown,Toys,B***,Bank Transfer,MASKED_0f177369
ORD-10163,CUST-3924,db***@outlook.com,***-***-5408,392.64,6,5,2024-02-04,Refunded,Electronics,S***,Bank Transfer,MASKED_3a52f3c2
ORD-10164,CUST-9871,wf***@hotmail.com,***-***-6167,612.57,1,15,2024-06-21,Cancelled,Home & Garden,P***,Bank Transfer,MASKED_c86ee0d9
ORD-10165,CUST-2650,fo***@outlook.com,***-***-5254,-379.32,4,5,2023-07-16,Shipped,sports,D***,PayPal,MASKED_0f177369
ORD-10166,CUST-4212,el***@enterprise.net,***-***-1159,4800.39,7,5,2023-03-08,Delivered,Toys,A***,Cash,MASKED_19d3326f
ORD-10167,CUST-2986,ho***@enterprise.net,***-***-9821,124.62,6,5,2024-03-10,Shipped,Toys,B***,PayPal,MASKED_19d3326f
ORD-10168,CUST-5773,xj***@outlook.com,***-***-7479,1541.52,6,10,2024-06-27,Delivered,Food,P***,Cash,MASKED_19d3326f
ORD-10169,CUST-9584,ew***@gmail.com,***-***-3544,617.89,1,0,2023-11-02,Delivered,Food,P***,Debit Card,MASKED_3a52f3c2
ORD-10170,CUST-8126,qd***@enterprise.net,***-***-6073,4800.8,10,10,2023-05-09,Cancelled,Sports,D***,Credit Card,MASKED_0f177369
ORD-10171,CUST-4788,ke***@company.io,***-***-7745,4475.66,7,20,2023-03-24,Delivered,Sports,D***,Debit Card,MASKED_6cc98ba2
ORD-10172,CUST-9060,gk***@outlook.com,***-***-1813,3649.5,10,20,2022-01-23,Processing,Beauty,M***,PayPal,MASKED_11aedd0e
ORD-10173,CUST-8702,sg***@yahoo.com,***-***-7251,432.25,7,0,2023-03-16,Refunded,Books,S***,Bank Transfer,MASKED_0f177369
ORD-10174,CUST-9534,ft***@outlook.com,***-***-5895,390044.84,1,5,2023-01-05,Pending,Home & Garden,L***,Credit Card,MASKED_3a52f3c2
ORD-10175,CUST-3521,au***@company.io,***-***-8992,52.52,1,5,2022-11-21,Cancelled,Beauty,P***,Bank Transfer,MASKED_3a52f3c2
ORD-10176,CUST-3627,jd***@company.io,***-***-5844,7320.1,10,10,2023-07-09,Shipped,Electronics,T***,Credit Card,MASKED_19d3326f
ORD-10177,CUST-3525,wq***@outlook.com,***-***-6276,4910.08,8,0,2022-04-09,Cancelled,Beauty,M***,Credit Card,MASKED_c86ee0d9
ORD-10178,CUST-2310,fm***@enterprise.net,***-***-7814,2105.28,4,10,2024-03-24,Refunded,Books,F***,Cash,MASKED_11aedd0e
ORD-10179,CUST-3931,vc***@enterprise.net,***-***-2728,1832.68,4,25,2023-08-14,Shipped,Electronics,T***,Bank Transfer,MASKED_76423d83
ORD-10180,CUST-9939,on***@hotmail.com,***-***-5162,2932.14,6,10,2023-04-09,Delivered,Books,B***,Credit Card,MASKED_7516fd43
