user_id,age,salary,email,score,country,signup_date
35,44.0,94505.0,us***@example.com,34.51,FR,2023-04-13
36,40.0,78954.5,us***@example.com,63.44,IN,2023-04-16
37,59.0,82251.0,us***@example.com,68.07,US,2023-04-19
38,45.0,52662.0,us***@example.com,53.09,UK,2023-04-22
39,33.0,38392.0,us***@example.com,44.78,DE,2023-04-25
40,32.0,60535.0,us***@example.com,55.29,FR,2023-04-28
41,64.0,78954.5,us***@example.com,51.78,IN,2023-05-01
42,61.0,108603.0,us***@example.com,59.27,US,2023-05-04
43,40.0,82256.0,us***@example.com,8.09,UK,2023-05-07
44,20.0,119135.0,us***@example.com,36.97,DE,2023-05-10
45,54.0,65222.0,us***@example.com,24.22,FR,2023-05-13
46,24.0,78954.5,us***@example.com,80.31,IN,2023-05-16
47,38.0,107373.0,us***@example.com,47.03,US,2023-05-19
48,26.0,109575.0,us***@example.com,98.34,UK,2023-05-22
49,56.0,114651.0,us***@example.com,51.78,DE,2023-05-25
50,40.0,93335.0,us***@example.com,39.88,FR,2023-05-28
51,35.0,78954.5,us***@example.com,81.64,IN,2023-05-31
52,21.0,40965.0,us***@example.com,79.83,US,2023-06-03
53,42.0,54538.0,us***@example.com,15.07,UK,2023-06-06
54,31.0,100592.0,us***@example.com,50.82,DE,2023-06-09
55,26.0,38110.0,us***@example.com,69.58,FR,2023-06-12
56,43.0,78954.5,us***@example.com,85.84,IN,2023-06-15
57,40.0,109309.0,us***@example.com,51.78,US,2023-06-18
58,19.0,57266.0,us***@example.com,32.6,UK,2023-06-21
59,37.0,82992.0,us***@example.com,22.02,DE,2023-06-24
60,45.0,112948.0,us***@example.com,71.11,FR,2023-06-27
61,64.0,78954.5,us***@example.com,80.95,IN,2023-06-30
62,24.0,36910.0,us***@example.com,34.87,US,2023-07-03
63,61.0,30206.0,us***@example.com,9.62,UK,2023-07-06
64,40.0,117054.0,us***@example.com,94.05,DE,2023-07-09
65,25.0,117897.0,us***@example.com,51.78,FR,2023-07-12
66,64.0,78954.5,us***@example.com,39.76,IN,2023-07-15
67,52.0,53419.0,us***@example.com,51.78,US,2023-07-18
68,31.0,80636.0,us***@example.com,83.77,UK,2023-07-21
69,34.0,80015.0,us***@example.com,67.57,DE,2023-07-24
70,53.0,84268.0,us***@example.com,73.52,FR,2023-07-27
71,40.0,78954.5,us***@example.com,20.91,IN,2023-07-30
72,57.0,117939.0,us***@example.com,54.14,US,2023-08-02
73,21.0,48141.0,us***@example.com,51.78,UK,2023-08-05
74,19.0,110356.0,us***@example.com,69.58,DE,2023-08-08
75,23.0,101910.0,us***@example.com,22.86,FR,2023-08-11
76,59.0,78954.5,us***@example.com,17.5,IN,2023-08-14
77,21.0,86044.0,us***@example.com,98.22,US,2023-08-17
78,40.0,97214.0,us***@example.com,51.66,UK,2023-08-20
79,46.0,63827.0,us***@example.com,26.08,DE,2023-08-23
80,35.0,85820.0,us***@example.com,99.63,FR,2023-08-26
81,43.0,78954.5,us***@example.com,51.78,IN,2023-08-29
82,61.0,92623.0,us***@example.com,96.54,US,2023-09-01
83,51.0,111734.0,us***@example.com,55.83,UK,2023-09-04
84,27.0,105450.0,us***@example.com,88.26,DE,2023-09-07
85,40.0,52299.0,us***@example.com,18.87,FR,2023-09-10
86,53.0,78954.5,us***@example.com,27.89,IN,2023-09-13
87,31.0,73585.0,us***@example.com,70.04,US,2023-09-16
88,48.0,94044.0,us***@example.com,84.67,UK,2023-09-19
89,32.0,72557.0,us***@example.com,51.78,DE,2023-09-22
90,25.0,79080.0,us***@example.com,85.63,FR,2023-09-25
91,31.0,78954.5,us***@example.com,40.45,IN,2023-09-28
92,40.0,32693.0,us***@example.com,88.78,US,2023-10-01
93,40.0,99163.0,us***@example.com,85.09,UK,2023-10-04
94,57.0,55939.0,us***@example.com,93.56,DE,2023-10-07
95,38.0,78925.0,us***@example.com,78.53,FR,2023-10-10
96,33.0,78954.5,us***@example.com,66.9,IN,2023-10-13
97,62.0,72941.0,us***@example.com,51.78,US,2023-10-16
98,35.0,51834.0,us***@example.com,58.07,UK,2023-10-19
99,40.0,48047.0,us***@example.com,37.23,DE,2023-10-22
100,64.0,56105.0,us***@example.com,94.01,FR,2023-10-25
